axis_i,axis_j,global_correlation,scenario_correlation_min,scenario_correlation_max,external_response_difference,temporal_response_difference,residual_response_difference,holdout_separation_score,conditional_separation_score,recommended_pair_action
distribution_shape_01,distribution_shape_02,-0.9966367399188687,-0.998594639638925,-0.993149109808827,0.4627390207951261,0.04645339052122343,1.88314204697771,0.001569387230131447,1.0,keep_separate
distribution_shape_01,distribution_shape_03,0.9684307675366357,0.9734861140725183,0.999596240592905,0.0892440176861106,0.003878002685534666,0.03513725979378546,0.017062682983941757,0.14532196314937246,merge_candidate
distribution_shape_01,distribution_shape_04,-0.9236303987601289,-0.998939985177113,-0.9802388186899793,0.4022107925837273,0.0024227227288652698,1.8131538394963187,0.014838905091608012,1.0,keep_separate
distribution_shape_01,distribution_shape_05,-0.984293435311701,-0.9986723224078804,-0.9826923594911983,0.4464077946362083,0.006143829913119088,1.8950564210991374,0.0031972658546937094,1.0,keep_separate
distribution_shape_01,distribution_shape_06,0.2203800990856545,-0.9303988900048937,0.9924687093418797,0.23936157900421384,5.845028950670882e-05,0.7269512496374158,0.12687985912970925,1.0,keep_separate
distribution_shape_01,distribution_shape_07,-0.9246766715888411,-0.9996124314506376,-0.9778876723640607,0.4184910451616166,0.0029739894056873065,1.8692056722365806,0.024017100536642078,1.0,keep_separate
distribution_shape_01,distribution_shape_08,-0.9848159706396863,-0.9932501303781115,-0.9779608012918718,0.4518860005536903,0.005046029566406411,1.9033650888440272,0.008569512393995393,1.0,keep_separate
distribution_shape_01,terrain_semantic_short_payoff,0.18148202844420636,-0.6284495013503022,0.9715579359121203,0.1717056810724701,0.0027316778055412757,1.0143876760669,0.15382312151681027,1.0,keep_separate
distribution_shape_01,terrain_semantic_medium_payoff,0.6489813743878033,0.8593401756862473,0.9883398222261546,0.17585258992974456,0.012811646697731114,0.2794925304729773,0.021024142385217992,0.48918090948567095,keep_separate
distribution_shape_01,terrain_semantic_effective_medium_payoff,0.6493834706036751,0.8593327619786234,0.9884491140237559,0.1763236173443986,0.012774935542804872,0.2792680573853026,0.021121704190485868,0.4894883144629919,keep_separate
distribution_shape_01,terrain_semantic_friction,-0.8390174620957143,-0.9839280949970804,-0.7913606087345997,0.7271235562244727,0.009028963938344963,1.716760337787469,0.046125161148438565,1.0,keep_separate
distribution_shape_01,terrain_semantic_viscosity,-0.5511125229444349,-0.9711914625159143,-0.6708296602818911,0.7276086430511594,0.008465360923804621,1.4341969535588674,0.07464074469523951,1.0,keep_separate
distribution_shape_01,terrain_semantic_rigidity,-0.34761011470395664,-0.938383353356041,-0.5397413599860201,0.6629502552204015,0.007738233918162211,1.239879764721389,0.09150043191617568,1.0,keep_separate
distribution_shape_01,terrain_semantic_recovery_speed,-0.47217370245692175,-0.5069151948276357,-0.26526991675892636,0.6310866207183807,0.060204032533284386,1.1911986459804704,0.04153475706325549,1.0,keep_separate
distribution_shape_01,terrain_semantic_route_support,-0.5806664045251962,-0.6866762616910921,-0.3920572699400752,0.6885658216160938,0.04908493544037076,1.3208506073506439,0.014751107903033134,1.0,keep_separate
distribution_shape_01,terrain_semantic_operating_cost,-0.7280912748768888,-0.9250933190809413,-0.7400266510501589,0.8223561615524526,0.00983104769114547,1.5826200430293569,0.041606726205986044,1.0,keep_separate
distribution_shape_01,terrain_semantic_cost_reduction_gain,-0.4171933147526019,-0.778696891353336,-0.40297856367814117,0.2849429480493263,0.032100662345280064,1.1669450528803673,0.087166820480301,1.0,keep_separate
distribution_shape_01,terrain_semantic_viability_reserve,-0.5758560614693379,-0.7002381550889484,-0.3010367887711687,0.683657589690525,0.05076388037666848,1.3180160057322472,0.01431327819347461,1.0,keep_separate
distribution_shape_01,terrain_interaction_short_payoff_x_friction,-0.8846764194214689,-0.9759540362579597,-0.9165341770105204,0.6256790490112425,0.007140839233997711,1.8253843591145889,0.02364371047877656,1.0,keep_separate
distribution_shape_01,terrain_interaction_medium_payoff_x_viscosity,0.11622407978520262,-0.16399269794762314,0.6568681199833095,0.5566851439608215,0.0010248257300314546,0.739313920235231,0.06302287366074975,1.0,keep_separate
distribution_shape_01,terrain_interaction_effective_medium_payoff_x_operating_cost,0.21958403748974709,-0.17759450766976673,0.6483352421915245,0.6249610660843632,0.0010292725606759257,0.5841874037523482,0.10404376705918378,1.0,keep_separate
distribution_shape_01,terrain_interaction_route_support_x_cost_reduction_gain,-0.4511640387090382,-0.7960554739533089,-0.2714606047645575,0.30165716174285995,0.021551007375174094,1.2078993947604109,0.032731076305670126,1.0,keep_separate
distribution_shape_01,terrain_interaction_viability_reserve_x_negative_viability_pressure,-0.20591100312899857,-0.973491982656258,-0.6834166541902099,0.4693474906353496,0.0025813049130223344,1.132787878624283,0.016450342604794166,1.0,keep_separate
distribution_shape_01,terrain_interaction_released_mass_x_release_reallocation_flow,-0.20879212197808794,-0.9717062809177218,-0.6970208779726571,0.5075101216471152,0.00042932327861382793,1.1056652254440793,0.026580933043460903,1.0,keep_separate
distribution_shape_01,temporal_response_information_memory,-0.41107351551429555,-0.9137867124584084,-0.15381897958908058,0.5286538689048302,0.014423315826170211,1.205462098666108,0.010380918640934433,1.0,keep_separate
distribution_shape_01,temporal_response_exploration_option_value,-0.5686118225003352,-0.5837436734175756,-0.5250886038351844,0.6709500337959917,0.037125631593109804,1.294663181955338,0.01954041269607576,1.0,keep_separate
distribution_shape_01,temporal_response_exploration_net_expected_value,-0.6161555724467567,-0.6272450117216255,-0.5727812007470446,0.669253065728233,0.040052216194576294,1.346617791995991,0.012582736769461755,1.0,keep_separate
distribution_shape_01,temporal_response_expected_value_advantage,-0.34546034780682777,-0.9950415652450181,-0.5468763754456211,0.6672085614530832,0.003968989812007905,1.218260711243266,0.011949345337546602,1.0,keep_separate
distribution_shape_01,temporal_response_last_flow,-0.5460303652166472,-0.6139650549104326,-0.4414537622276488,0.6744753567285098,0.018894742662734512,1.2641498135379452,0.02939010871351777,1.0,keep_separate
distribution_shape_01,external_response_external_resource_supply,0.09428223274287194,-0.9752710834137163,0.9769124915439503,0.0886906038619531,0.0003512016725391953,0.8250297411514568,0.0446306347365238,0.9587021814224729,keep_separate
distribution_shape_01,external_response_external_demand,0.03636107152305658,-0.9427014915690423,0.9765518731419264,0.3708174831890057,0.0002744751304256992,0.8876787398831484,0.03636107152305658,1.0,keep_separate
distribution_shape_01,external_response_external_competition_pressure,-0.12011135765848095,-0.9646901084675173,0.0,0.4272526340480223,0.001279415074765025,1.0495166889375744,0.05238179762367984,1.0,keep_separate
distribution_shape_01,external_response_external_information_noise,-0.14082388664296783,-0.9760202829091478,0.02820465387229347,0.5082218304248858,0.001114130927077922,1.0547311662595387,0.037459934367619865,1.0,keep_separate
distribution_shape_01,external_response_external_shock,-0.12756800312692781,-0.9840691709389153,0.02914160956317481,0.5624864127102605,0.001219449564430745,1.0146159783580821,0.026464276587579133,1.0,keep_separate
distribution_shape_01,external_response_external_constraint_pressure,-0.1986874522147515,-0.957817548301754,0.028825767339086265,0.5318764090469219,0.0014814044993241209,1.168952508429108,0.2755046146050517,1.0,keep_separate
distribution_shape_01,residual_response_positive_residual_proxy,-0.9868102412485077,-0.9941970008420091,-0.9762166425521298,0.4343794199755547,0.01886858099892008,1.908446870843232,0.011086134807995918,1.0,keep_separate
distribution_shape_01,residual_response_negative_residual_proxy,-0.9868102412485078,-0.994197000842009,-0.9762166425521301,0.43437941997555474,0.018868580998920085,1.9084468708432323,0.011086134807995807,1.0,keep_separate
distribution_shape_01,residual_response_residual_energy_proxy,-0.931252580283703,-0.9487308949491156,-0.9267359351316737,0.3784390445480158,0.00028553081055634604,1.9312525802837028,0.023294215769339544,1.0,keep_separate
distribution_shape_02,distribution_shape_03,-0.9746307657504905,-0.9995759079277086,-0.9862308406107767,0.3734950031090155,0.0503313932067581,1.9182793067714956,0.014806711895113511,1.0,keep_separate
distribution_shape_02,distribution_shape_04,0.9166317565146328,0.9516926101778581,0.9996372771915174,0.06052822821139886,0.04403066779235816,0.06998820748139145,0.030316958212924128,0.20486406169807259,needs_review
distribution_shape_02,distribution_shape_05,0.9873920623131465,0.990914254685396,0.9993557926732789,0.016331226158917855,0.04030956060810434,0.011914374121427262,0.005702558126204682,0.07425771901465414,merge_candidate
distribution_shape_02,distribution_shape_06,-0.21663328310855726,-0.9955245305672807,0.9500639464948708,0.22337744179091226,0.04639494023171672,1.1561907973402943,0.1264906014810178,1.0,keep_separate
distribution_shape_02,distribution_shape_07,0.9313355802276969,0.9901606191203713,0.9999426881077342,0.04424797563350952,0.04347940111553612,0.013936374741129631,0.020049178484298547,0.12171292997447382,needs_review
distribution_shape_02,distribution_shape_08,0.9954041249204798,0.9918958430656861,0.9980801617116248,0.010853020241435807,0.04140736095481702,0.02022304186631707,0.0035908011984431276,0.07607422426101303,merge_candidate
distribution_shape_02,terrain_semantic_short_payoff,-0.1407419481037178,-0.9548910763871428,0.6684300492508657,0.291033339722656,0.049185068326764704,0.8687543709108102,0.16899048055867466,1.0,keep_separate
distribution_shape_02,terrain_semantic_medium_payoff,-0.6830887710648388,-0.9928978536971476,-0.888494337506938,0.6385916107248707,0.05926503721895454,1.6036495165047329,0.029415142756834323,1.0,keep_separate
distribution_shape_02,terrain_semantic_effective_medium_payoff,-0.6833884098128279,-0.9929499862052161,-0.8884819972965425,0.6390626381395247,0.0592283260640283,1.6038739895924077,0.02945146362007567,1.0,keep_separate
distribution_shape_02,terrain_semantic_friction,0.8372874875260204,0.765748769817002,0.979064131258787,0.2643845354293465,0.037424426582878464,0.1663817091902413,0.05393039452136206,0.5221210657238283,keep_separate
distribution_shape_02,terrain_semantic_viscosity,0.548755207203308,0.6424450001883281,0.9613661972398027,0.2648696222560333,0.03798802959741881,0.4489450934188427,0.07820354441063615,0.830006289682931,keep_separate
distribution_shape_02,terrain_semantic_rigidity,0.3456950460698966,0.5061349514179073,0.921587630547904,0.20021123442527541,0.03871515660306122,0.6432622822563211,0.09272117977682925,0.974909853061487,keep_separate
distribution_shape_02,terrain_semantic_recovery_speed,0.4305229901669508,0.1960023178722661,0.4723912269695065,0.16834759992325468,0.013750642012060957,0.6919434009972398,0.050802170179270134,0.9248438131118256,keep_separate
distribution_shape_02,terrain_semantic_route_support,0.5488146685066101,0.3164985925113285,0.6629342253116937,0.2258268008209677,0.0026315449191473272,0.5622914396270664,0.011018254389250304,0.8017680397564317,keep_separate
distribution_shape_02,terrain_semantic_operating_cost,0.724334106315707,0.7110070165591839,0.9154254793723147,0.3596171407573264,0.03662234283007796,0.3005220039483534,0.04948532459449406,0.7462468121302518,keep_separate
distribution_shape_02,terrain_semantic_cost_reduction_gain,0.38031037833169407,0.3518749561844441,0.7649202922509647,0.17779607274579978,0.014352728175943366,0.7161969940973427,0.0994711478662384,1.0,keep_separate
distribution_shape_02,terrain_semantic_viability_reserve,0.5434863513097318,0.22047914753770906,0.6779302608147905,0.220918568895399,0.004310489855445049,0.5651260412454628,0.010062994714027051,0.800418094710334,keep_separate
distribution_shape_02,terrain_interaction_short_payoff_x_friction,0.892778902756178,0.9076582183010033,0.9851822264458304,0.1629400282161164,0.03931255128722572,0.05775768786312119,0.030288667934756264,0.29029893530121953,keep_separate
distribution_shape_02,terrain_interaction_medium_payoff_x_viscosity,-0.1395601393597684,-0.6786240947874738,0.11037048600401418,0.09394612316569537,0.04542856479119198,1.143828126742479,0.06973068887107545,1.0,keep_separate
distribution_shape_02,terrain_interaction_effective_medium_payoff_x_operating_cost,-0.2573290016813145,-0.6747848905822906,0.13616840875091477,0.16222204528923714,0.0454241179605475,1.298954643225362,0.10821381897944093,1.0,keep_separate
distribution_shape_02,terrain_interaction_route_support_x_cost_reduction_gain,0.4155088359740557,0.2034705192537872,0.779101575567331,0.16108185905226616,0.024902383146049336,0.6752426522172994,0.04646255956931328,0.9076894539849283,keep_separate
distribution_shape_02,terrain_interaction_viability_reserve_x_negative_viability_pressure,0.25193683647723214,0.7202589308873538,0.9819018061249051,0.00660846984022348,0.0438720856082011,0.7503541683534269,0.026703610956376134,0.8275383347582277,keep_separate
distribution_shape_02,terrain_interaction_released_mass_x_release_reallocation_flow,0.24140124530836363,0.7320920413089469,0.9733242798875755,0.04477110085198907,0.0460240672426096,0.777476821533631,0.019488879932399283,0.8877608695606289,keep_separate
distribution_shape_02,temporal_response_information_memory,0.38845320405394435,0.11130021585029509,0.9134817363391956,0.06591484810970413,0.032030074695053215,0.6776799483116023,0.007345289098683927,0.7829701602150435,keep_separate
distribution_shape_02,temporal_response_exploration_option_value,0.5322441869871817,0.46602410659126714,0.5524907757648837,0.20821101300086556,0.009327758928113626,0.5884788650223721,0.025627875654503862,0.8316455126058552,keep_separate
distribution_shape_02,temporal_response_exploration_net_expected_value,0.5812291036508016,0.5145641447410961,0.5963817299665768,0.2065140449331068,0.0064011743266471355,0.5365242549817193,0.018502596099905122,0.7679420703413783,keep_separate
distribution_shape_02,temporal_response_expected_value_advantage,0.3733654352513395,0.5210839856736655,0.9919438171443338,0.2044695406579571,0.042484400709215525,0.6648813357344443,0.0027106591282214376,0.9145459362298384,keep_separate
distribution_shape_02,temporal_response_last_flow,0.5101145030100519,0.4055079786905997,0.5830225893033593,0.21173633593338367,0.027558647858488917,0.6189922334397648,0.03324056616391452,0.8915277833955519,keep_separate
distribution_shape_02,external_response_external_resource_supply,-0.09509629908267618,-0.9754518598328682,0.9716671078222465,0.37404841693317303,0.04680459219376262,1.0581123058262534,0.05499910493528405,1.0,keep_separate
distribution_shape_02,external_response_external_demand,-0.04234148108834315,-0.9755581435990418,0.934784840289916,0.0919215376061204,0.04617891539079773,0.9954633070945618,0.04234148108834315,1.0,keep_separate
distribution_shape_02,external_response_external_competition_pressure,0.11678508494805509,0.0,0.9599251930597815,0.03548638674710383,0.0451739754464584,0.8336253580401357,0.06449677681592028,0.9787824970496182,keep_separate
distribution_shape_02,external_response_external_information_noise,0.13705913555339025,-0.04903240814067427,0.9744971440631491,0.04548280962975962,0.04533925959414551,0.8284108807181716,0.054811805341146644,0.9740447552832233,keep_separate
distribution_shape_02,external_response_external_shock,0.15677687079448624,-0.05024180011230498,0.9795761095475627,0.09974739191513435,0.04523394095679269,0.8685260686196281,0.015507984586520973,1.0,keep_separate
distribution_shape_02,external_response_external_constraint_pressure,0.21435509606352876,-0.049712066995704705,0.9603044079792872,0.06913738825179586,0.04497198602189931,0.7141895385486021,0.2871533219427358,1.0,keep_separate
distribution_shape_02,residual_response_positive_residual_proxy,0.9930845595505017,0.9888647890272234,0.9997121290775985,0.028359600819571423,0.027584809522303348,0.025304823865521908,0.009264871685469855,0.09051410589286654,merge_candidate
distribution_shape_02,residual_response_negative_residual_proxy,0.9930845595505018,0.9888647890272237,0.9997121290775983,0.028359600819571396,0.027584809522303345,0.02530482386552224,0.009264871685469744,0.09051410589286672,merge_candidate
distribution_shape_02,residual_response_residual_energy_proxy,0.9518894666940072,0.9508738287325184,0.9789217628535621,0.0842999762471103,0.046167859710667086,0.048110533305992687,0.019954773275610238,0.19853314253938031,merge_candidate
distribution_shape_03,distribution_shape_04,-0.8973903090154746,-0.999810464474979,-0.9614207661609956,0.31296677489761665,0.006300725414399936,1.8482910992901043,0.04055125036659246,1.0,keep_separate
distribution_shape_03,distribution_shape_05,-0.9710563882400143,-0.9999709683863851,-0.9924959856872688,0.35716377695009766,0.010021832598653755,1.930193680892923,2.4597653422997467e-06,1.0,keep_separate
distribution_shape_03,distribution_shape_06,0.24388833321449607,-0.9691735684452752,0.99670122639958,0.15011756131810325,0.003936452975041375,0.7620885094312012,0.15087533528611832,1.0,keep_separate
distribution_shape_03,distribution_shape_07,-0.9320830888018615,-0.9999129514891947,-0.9882760642778353,0.329247027475506,0.006851992091221972,1.904342932030366,0.023042040920443374,1.0,keep_separate
distribution_shape_03,distribution_shape_08,-0.9775222168191048,-0.9999141831492131,-0.9791744028889775,0.3626419828675797,0.008924032251941078,1.9385023486378126,0.006403098364249571,1.0,keep_separate
distribution_shape_03,terrain_semantic_short_payoff,0.0563958369353646,-0.7657014461446443,0.9135333344189861,0.08246166338635952,0.0011463248799933904,1.0495249358606853,0.25394217295458044,1.0,keep_separate
distribution_shape_03,terrain_semantic_medium_payoff,0.6414462531607562,0.8856795285259168,0.9965890743663152,0.2650966076158552,0.008933644012196446,0.31462979026676274,0.0016231656431572317,0.5902832075379716,keep_separate
distribution_shape_03,terrain_semantic_effective_medium_payoff,0.6418581973724566,0.885624466251173,0.9965805640399473,0.2655676350305092,0.008896932857270206,0.31440531717908804,0.001427446927746212,0.5902973319946136,keep_separate
distribution_shape_03,terrain_semantic_friction,-0.8132032534342302,-0.976427982841288,-0.7113312344933197,0.637879538538362,0.012906966623879631,1.7518975975812543,0.0740848890568161,1.0,keep_separate
distribution_shape_03,terrain_semantic_viscosity,-0.5126062501426963,-0.9594749057302558,-0.5972914391811476,0.6383646253650488,0.012343363609339287,1.4693342133526528,0.11783442226658092,1.0,keep_separate
distribution_shape_03,terrain_semantic_rigidity,-0.3069375631726731,-0.9195761368877592,-0.45435490169364756,0.573706237534291,0.011616236603696877,1.2750170245151744,0.13927945848662598,1.0,keep_separate
distribution_shape_03,terrain_semantic_recovery_speed,-0.3746799804565057,-0.4913108472049775,-0.22563197222399828,0.5418426030322702,0.06408203521881906,1.2263359057742558,0.05355376944803769,1.0,keep_separate
distribution_shape_03,terrain_semantic_route_support,-0.4956412797490182,-0.6244486118861733,-0.3550185818688239,0.5993218039299832,0.052962938125905426,1.3559878671444292,0.030619174423303364,1.0,keep_separate
distribution_shape_03,terrain_semantic_operating_cost,-0.6887582813719758,-0.9073033432442257,-0.6508245564287777,0.7331121438663419,0.013709050376680135,1.6177573028231422,0.06933973842437124,1.0,keep_separate
distribution_shape_03,terrain_semantic_cost_reduction_gain,-0.3292164181328243,-0.7328586106931932,-0.3554331711495619,0.19569893036321573,0.03597866503081473,1.2020823126741529,0.12803830250251053,1.0,keep_separate
distribution_shape_03,terrain_semantic_viability_reserve,-0.4934746015671199,-0.6417063163758232,-0.26301085229678695,0.5944135720044145,0.05464188306220315,1.3531532655260328,0.037008853552192356,1.0,keep_separate
distribution_shape_03,terrain_interaction_short_payoff_x_friction,-0.8898722683384237,-0.9870463599667771,-0.8829688054409036,0.5364350313251319,0.011018841919532379,1.8605216189083744,0.06168593646793896,1.0,keep_separate
distribution_shape_03,terrain_interaction_medium_payoff_x_viscosity,0.16842527376219,-0.0370712187927723,0.6897360060183138,0.4674411262747109,0.004902828415566121,0.7744511800290166,0.012720616376505206,1.0,keep_separate
