row_index,distribution_state_id,distribution_group,scenario_split,scenario_id,seed,t,n_bins,cell_count,base_pair_key
0,base_v3_3|fit_external|base_v3_3_fit_external|seed0|t0|n4,base_v3_3,fit_external,base_v3_3_fit_external,0,0,4,1024,seed=0|t=0|n_bins=4|scenario_split=fit_external
1,base_v3_3|fit_external|base_v3_3_fit_external|seed0|t12|n4,base_v3_3,fit_external,base_v3_3_fit_external,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
2,base_v3_3|fit_external|base_v3_3_fit_external|seed1|t0|n4,base_v3_3,fit_external,base_v3_3_fit_external,1,0,4,1024,seed=1|t=0|n_bins=4|scenario_split=fit_external
3,base_v3_3|fit_external|base_v3_3_fit_external|seed1|t12|n4,base_v3_3,fit_external,base_v3_3_fit_external,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
4,base_v3_3|fit_external|base_v3_3_fit_external|seed2|t0|n4,base_v3_3,fit_external,base_v3_3_fit_external,2,0,4,1024,seed=2|t=0|n_bins=4|scenario_split=fit_external
5,base_v3_3|fit_external|base_v3_3_fit_external|seed2|t12|n4,base_v3_3,fit_external,base_v3_3_fit_external,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
6,base_v3_3|holdout_external|base_v3_3_holdout_external|seed10|t0|n4,base_v3_3,holdout_external,base_v3_3_holdout_external,10,0,4,1024,seed=10|t=0|n_bins=4|scenario_split=holdout_external
7,base_v3_3|holdout_external|base_v3_3_holdout_external|seed10|t12|n4,base_v3_3,holdout_external,base_v3_3_holdout_external,10,12,4,1024,seed=10|t=12|n_bins=4|scenario_split=holdout_external
8,base_v3_3|holdout_external|base_v3_3_holdout_external|seed10|t20|n4,base_v3_3,holdout_external,base_v3_3_holdout_external,10,20,4,1024,seed=10|t=20|n_bins=4|scenario_split=holdout_external
9,base_v3_3|holdout_external|base_v3_3_holdout_external|seed11|t0|n4,base_v3_3,holdout_external,base_v3_3_holdout_external,11,0,4,1024,seed=11|t=0|n_bins=4|scenario_split=holdout_external
10,base_v3_3|holdout_external|base_v3_3_holdout_external|seed11|t12|n4,base_v3_3,holdout_external,base_v3_3_holdout_external,11,12,4,1024,seed=11|t=12|n_bins=4|scenario_split=holdout_external
11,base_v3_3|holdout_external|base_v3_3_holdout_external|seed11|t20|n4,base_v3_3,holdout_external,base_v3_3_holdout_external,11,20,4,1024,seed=11|t=20|n_bins=4|scenario_split=holdout_external
12,external_augmented|fit_external|fit_single_external_resource_supply_-1.00|seed0|t12|n4,external_augmented,fit_external,fit_single_external_resource_supply_-1.00,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
13,external_augmented|fit_external|fit_single_external_resource_supply_-1.00|seed1|t12|n4,external_augmented,fit_external,fit_single_external_resource_supply_-1.00,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
14,external_augmented|fit_external|fit_single_external_resource_supply_-1.00|seed2|t12|n4,external_augmented,fit_external,fit_single_external_resource_supply_-1.00,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
15,external_augmented|fit_external|fit_single_external_resource_supply_-0.50|seed0|t12|n4,external_augmented,fit_external,fit_single_external_resource_supply_-0.50,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
16,external_augmented|fit_external|fit_single_external_resource_supply_-0.50|seed1|t12|n4,external_augmented,fit_external,fit_single_external_resource_supply_-0.50,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
17,external_augmented|fit_external|fit_single_external_resource_supply_-0.50|seed2|t12|n4,external_augmented,fit_external,fit_single_external_resource_supply_-0.50,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
18,external_augmented|fit_external|fit_single_external_resource_supply_+0.50|seed0|t12|n4,external_augmented,fit_external,fit_single_external_resource_supply_+0.50,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
19,external_augmented|fit_external|fit_single_external_resource_supply_+0.50|seed1|t12|n4,external_augmented,fit_external,fit_single_external_resource_supply_+0.50,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
20,external_augmented|fit_external|fit_single_external_resource_supply_+0.50|seed2|t12|n4,external_augmented,fit_external,fit_single_external_resource_supply_+0.50,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
21,external_augmented|fit_external|fit_single_external_resource_supply_+1.00|seed0|t12|n4,external_augmented,fit_external,fit_single_external_resource_supply_+1.00,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
22,external_augmented|fit_external|fit_single_external_resource_supply_+1.00|seed1|t12|n4,external_augmented,fit_external,fit_single_external_resource_supply_+1.00,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
23,external_augmented|fit_external|fit_single_external_resource_supply_+1.00|seed2|t12|n4,external_augmented,fit_external,fit_single_external_resource_supply_+1.00,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
24,external_augmented|fit_external|fit_single_external_demand_-1.00|seed0|t12|n4,external_augmented,fit_external,fit_single_external_demand_-1.00,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
25,external_augmented|fit_external|fit_single_external_demand_-1.00|seed1|t12|n4,external_augmented,fit_external,fit_single_external_demand_-1.00,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
26,external_augmented|fit_external|fit_single_external_demand_-1.00|seed2|t12|n4,external_augmented,fit_external,fit_single_external_demand_-1.00,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
27,external_augmented|fit_external|fit_single_external_demand_-0.50|seed0|t12|n4,external_augmented,fit_external,fit_single_external_demand_-0.50,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
28,external_augmented|fit_external|fit_single_external_demand_-0.50|seed1|t12|n4,external_augmented,fit_external,fit_single_external_demand_-0.50,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
29,external_augmented|fit_external|fit_single_external_demand_-0.50|seed2|t12|n4,external_augmented,fit_external,fit_single_external_demand_-0.50,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
30,external_augmented|fit_external|fit_single_external_demand_+0.50|seed0|t12|n4,external_augmented,fit_external,fit_single_external_demand_+0.50,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
31,external_augmented|fit_external|fit_single_external_demand_+0.50|seed1|t12|n4,external_augmented,fit_external,fit_single_external_demand_+0.50,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
32,external_augmented|fit_external|fit_single_external_demand_+0.50|seed2|t12|n4,external_augmented,fit_external,fit_single_external_demand_+0.50,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
33,external_augmented|fit_external|fit_single_external_demand_+1.00|seed0|t12|n4,external_augmented,fit_external,fit_single_external_demand_+1.00,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
34,external_augmented|fit_external|fit_single_external_demand_+1.00|seed1|t12|n4,external_augmented,fit_external,fit_single_external_demand_+1.00,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
35,external_augmented|fit_external|fit_single_external_demand_+1.00|seed2|t12|n4,external_augmented,fit_external,fit_single_external_demand_+1.00,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
36,external_augmented|fit_external|fit_single_external_competition_pressure_0.25|seed0|t12|n4,external_augmented,fit_external,fit_single_external_competition_pressure_0.25,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
37,external_augmented|fit_external|fit_single_external_competition_pressure_0.25|seed1|t12|n4,external_augmented,fit_external,fit_single_external_competition_pressure_0.25,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
38,external_augmented|fit_external|fit_single_external_competition_pressure_0.25|seed2|t12|n4,external_augmented,fit_external,fit_single_external_competition_pressure_0.25,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
39,external_augmented|fit_external|fit_single_external_competition_pressure_0.50|seed0|t12|n4,external_augmented,fit_external,fit_single_external_competition_pressure_0.50,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
40,external_augmented|fit_external|fit_single_external_competition_pressure_0.50|seed1|t12|n4,external_augmented,fit_external,fit_single_external_competition_pressure_0.50,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
41,external_augmented|fit_external|fit_single_external_competition_pressure_0.50|seed2|t12|n4,external_augmented,fit_external,fit_single_external_competition_pressure_0.50,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
42,external_augmented|fit_external|fit_single_external_competition_pressure_0.75|seed0|t12|n4,external_augmented,fit_external,fit_single_external_competition_pressure_0.75,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
