scenario_id,scenario_type,baseline_name,seed,n_steps,cumulative_gain,mean_stability,final_stability,mean_risk,final_risk,safety_violation_count,safety_violation_rate,over_action_count,over_action_rate,missed_opportunity_rate,mean_recovery_score,time_to_recover,max_fatigue,final_relation_lock,exploration_capacity_retention,audit_pass_rate
clr_00,stable_closed_v2,ACTION_MODULE_RC1,0,12.0,0.0,0.701958,0.662553,0.259002,0.32167,0.0,0.0,0.0,0.0,0.666667,0.579913,0.0,0.01,0.090898,0.936036,1.0
clr_00,stable_closed_v2,ACTION_MODULE_RC1,1,12.0,0.0,0.708377,0.668975,0.259002,0.321671,0.0,0.0,0.0,0.0,0.666667,0.579913,0.0,0.01,0.090902,0.936031,1.0
clr_00,stable_closed_v2,ACTION_MODULE_RC1,2,12.0,0.0,0.694747,0.655336,0.259002,0.32167,0.0,0.0,0.0,0.0,0.666667,0.579913,0.0,0.01,0.090892,0.936043,1.0
clr_00,stable_closed_v2,ACTION_MODULE_RC1,3,12.0,0.0,0.71388,0.675301,0.259274,0.321937,0.0,0.0,0.0,0.0,0.666667,0.579881,0.0,0.01,0.091103,0.936018,1.0
clr_00,stable_closed_v2,ACTION_MODULE_RC1,4,12.0,0.0,0.720759,0.675841,0.259646,0.322599,0.0,0.0,0.0,0.0,0.75,0.579378,0.0,0.01,0.083693,0.945421,1.0
clr_00,stable_closed_v2,NO_ACTION,0,12.0,0.0,0.693211,0.624461,0.26125,0.33,0.0,0.0,0.0,0.0,1.0,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_00,stable_closed_v2,NO_ACTION,1,12.0,0.0,0.699629,0.630879,0.26125,0.33,0.0,0.0,0.0,0.0,1.0,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_00,stable_closed_v2,NO_ACTION,2,12.0,0.0,0.686001,0.617251,0.26125,0.33,0.0,0.0,0.0,0.0,1.0,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_00,stable_closed_v2,NO_ACTION,3,12.0,0.0,0.705835,0.637085,0.26125,0.33,0.0,0.0,0.0,0.0,1.0,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_00,stable_closed_v2,NO_ACTION,4,12.0,0.0,0.714976,0.646226,0.26125,0.33,0.0,0.0,0.0,0.0,1.0,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_00,stable_closed_v2,V2_GREEDY_OPTIMIZER,0,12.0,7.072231,0.879115,1.0,0.429899,0.84748,0.0,0.0,4.0,0.333333,0.0,0.419238,0.0,0.8168,0.324,0.817349,1.0
clr_00,stable_closed_v2,V2_GREEDY_OPTIMIZER,1,12.0,7.072231,0.883929,1.0,0.429899,0.84748,0.0,0.0,4.0,0.333333,0.0,0.418703,0.0,0.8168,0.324,0.817349,1.0
clr_00,stable_closed_v2,V2_GREEDY_OPTIMIZER,2,12.0,7.072231,0.873707,1.0,0.429899,0.84748,0.0,0.0,4.0,0.333333,0.0,0.419839,0.0,0.8168,0.324,0.817349,1.0
clr_00,stable_closed_v2,V2_GREEDY_OPTIMIZER,3,12.0,7.072231,0.888583,1.0,0.429899,0.84748,0.0,0.0,4.0,0.333333,0.0,0.418186,0.0,0.8168,0.324,0.817349,1.0
clr_00,stable_closed_v2,V2_GREEDY_OPTIMIZER,4,12.0,7.072231,0.895439,1.0,0.429899,0.84748,0.0,0.0,4.0,0.333333,0.0,0.417425,0.0,0.8168,0.324,0.817349,1.0
clr_01,shock_recovery,ACTION_MODULE_RC1,0,12.0,0.0,0.565273,0.457273,0.605,0.735,0.0,0.0,0.0,0.0,0.0,0.543295,99.0,0.01,0.06,0.974884,1.0
clr_01,shock_recovery,ACTION_MODULE_RC1,1,12.0,0.0,0.59961,0.49161,0.605,0.735,0.0,0.0,0.0,0.0,0.0,0.543295,99.0,0.01,0.06,0.974884,1.0
clr_01,shock_recovery,ACTION_MODULE_RC1,2,12.0,0.0,0.575461,0.467461,0.605,0.735,0.0,0.0,0.0,0.0,0.0,0.543295,99.0,0.01,0.06,0.974884,1.0
clr_01,shock_recovery,ACTION_MODULE_RC1,3,12.0,0.0,0.581879,0.473879,0.605,0.735,0.0,0.0,0.0,0.0,0.0,0.543295,99.0,0.01,0.06,0.974884,1.0
clr_01,shock_recovery,ACTION_MODULE_RC1,4,12.0,0.0,0.568251,0.460251,0.605,0.735,0.0,0.0,0.0,0.0,0.0,0.543295,99.0,0.01,0.06,0.974884,1.0
clr_01,shock_recovery,NO_ACTION,0,12.0,0.0,0.565273,0.457273,0.605,0.735,0.0,0.0,0.0,0.0,0.0,0.543295,99.0,0.01,0.06,0.974884,1.0
clr_01,shock_recovery,NO_ACTION,1,12.0,0.0,0.59961,0.49161,0.605,0.735,0.0,0.0,0.0,0.0,0.0,0.543295,99.0,0.01,0.06,0.974884,1.0
clr_01,shock_recovery,NO_ACTION,2,12.0,0.0,0.575461,0.467461,0.605,0.735,0.0,0.0,0.0,0.0,0.0,0.543295,99.0,0.01,0.06,0.974884,1.0
clr_01,shock_recovery,NO_ACTION,3,12.0,0.0,0.581879,0.473879,0.605,0.735,0.0,0.0,0.0,0.0,0.0,0.543295,99.0,0.01,0.06,0.974884,1.0
clr_01,shock_recovery,NO_ACTION,4,12.0,0.0,0.568251,0.460251,0.605,0.735,0.0,0.0,0.0,0.0,0.0,0.543295,99.0,0.01,0.06,0.974884,1.0
clr_01,shock_recovery,V2_GREEDY_OPTIMIZER,0,12.0,5.73088,0.945695,1.0,0.361149,0.75748,0.0,0.0,4.0,0.333333,0.0,0.440921,0.0,0.8168,0.324,0.712698,1.0
clr_01,shock_recovery,V2_GREEDY_OPTIMIZER,1,12.0,5.73088,0.960002,1.0,0.361149,0.75748,0.0,0.0,4.0,0.333333,0.0,0.438059,0.0,0.8168,0.324,0.712698,1.0
clr_01,shock_recovery,V2_GREEDY_OPTIMIZER,2,12.0,5.73088,0.94994,1.0,0.361149,0.75748,0.0,0.0,4.0,0.333333,0.0,0.440072,0.0,0.8168,0.324,0.712698,1.0
clr_01,shock_recovery,V2_GREEDY_OPTIMIZER,3,12.0,5.73088,0.952614,1.0,0.361149,0.75748,0.0,0.0,4.0,0.333333,0.0,0.439537,0.0,0.8168,0.324,0.712698,1.0
clr_01,shock_recovery,V2_GREEDY_OPTIMIZER,4,12.0,5.73088,0.946935,1.0,0.361149,0.75748,0.0,0.0,4.0,0.333333,0.0,0.440673,0.0,0.8168,0.324,0.712698,1.0
clr_02,delayed_side_effect,ACTION_MODULE_RC1,0,12.0,0.0,0.705835,0.637085,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_02,delayed_side_effect,ACTION_MODULE_RC1,1,12.0,0.0,0.714976,0.646226,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_02,delayed_side_effect,ACTION_MODULE_RC1,2,12.0,0.0,0.685348,0.616598,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_02,delayed_side_effect,ACTION_MODULE_RC1,3,12.0,0.0,0.717078,0.648328,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_02,delayed_side_effect,ACTION_MODULE_RC1,4,12.0,0.0,0.715745,0.646995,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_02,delayed_side_effect,NO_ACTION,0,12.0,0.0,0.705835,0.637085,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_02,delayed_side_effect,NO_ACTION,1,12.0,0.0,0.714976,0.646226,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_02,delayed_side_effect,NO_ACTION,2,12.0,0.0,0.685348,0.616598,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_02,delayed_side_effect,NO_ACTION,3,12.0,0.0,0.717078,0.648328,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_02,delayed_side_effect,NO_ACTION,4,12.0,0.0,0.715745,0.646995,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
